epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,100.669,0.91775,0.82527,1.09362,0.88974,0.78402,0.87049,0.70637,0.8002,0.60661,0.96316,9.6027e-05,9.6027e-05,9.6027e-05
41,103.069,0.92764,0.80056,1.07235,0.87599,0.78614,0.8705,0.70751,0.79497,0.60475,0.96161,9.5438e-05,9.5438e-05,9.5438e-05
42,105.407,0.90429,0.7744,1.06289,0.85555,0.80563,0.87272,0.70732,0.7907,0.60176,0.96035,9.4849e-05,9.4849e-05,9.4849e-05
43,107.902,0.92133,0.79861,1.08012,0.82366,0.83233,0.87576,0.70818,0.78318,0.59143,0.95669,9.42599e-05,9.42599e-05,9.42599e-05
44,110.265,0.87487,0.75566,1.0456,0.81838,0.83095,0.87199,0.71061,0.77898,0.58485,0.95646,9.36709e-05,9.36709e-05,9.36709e-05
45,112.609,0.89241,0.76132,1.07226,0.83365,0.82906,0.87467,0.7117,0.7759,0.57777,0.95621,9.30818e-05,9.30818e-05,9.30818e-05
46,114.874,0.86535,0.72363,1.02874,0.84815,0.81344,0.87557,0.71379,0.77103,0.57379,0.95384,9.24928e-05,9.24928e-05,9.24928e-05
47,117.158,0.86689,0.75722,1.06358,0.80709,0.82588,0.87001,0.71323,0.76756,0.57269,0.9515,9.19037e-05,9.19037e-05,9.19037e-05
48,119.421,0.89696,0.77151,1.05688,0.88648,0.78671,0.8728,0.71481,0.76797,0.57738,0.95112,9.13147e-05,9.13147e-05,9.13147e-05
49,121.726,0.86124,0.73493,1.04888,0.89346,0.77701,0.86935,0.71683,0.76807,0.57876,0.94905,9.07256e-05,9.07256e-05,9.07256e-05
50,123.988,0.88827,0.76034,1.0481,0.88611,0.78209,0.86794,0.72069,0.76621,0.5737,0.9473,9.01366e-05,9.01366e-05,9.01366e-05
51,126.486,0.88247,0.74302,1.04743,0.88955,0.77896,0.86942,0.72082,0.7619,0.56543,0.94542,8.95475e-05,8.95475e-05,8.95475e-05
52,128.729,0.89726,0.74664,1.05898,0.88376,0.78389,0.86889,0.72055,0.7557,0.56142,0.94287,8.89585e-05,8.89585e-05,8.89585e-05
53,131.02,0.89715,0.76793,1.06683,0.8878,0.78008,0.86678,0.72122,0.7494,0.55759,0.94121,8.83694e-05,8.83694e-05,8.83694e-05
54,133.395,0.87658,0.7322,1.04222,0.87967,0.78957,0.87328,0.7229,0.74713,0.55734,0.93901,8.77804e-05,8.77804e-05,8.77804e-05
55,135.813,0.88936,0.72365,1.03405,0.89406,0.79266,0.87335,0.72113,0.74762,0.55751,0.93886,8.71913e-05,8.71913e-05,8.71913e-05
56,138.057,0.86843,0.73172,1.04574,0.87099,0.81887,0.88282,0.73078,0.74972,0.55534,0.9411,8.66022e-05,8.66022e-05,8.66022e-05
57,140.322,0.87339,0.73141,1.05628,0.87081,0.81722,0.88102,0.7277,0.74873,0.54867,0.94129,8.60132e-05,8.60132e-05,8.60132e-05
58,142.655,0.86938,0.72458,1.02983,0.88509,0.81682,0.88302,0.73611,0.74302,0.54302,0.93896,8.54242e-05,8.54242e-05,8.54242e-05
59,144.996,0.82994,0.7302,1.02471,0.8832,0.82475,0.88518,0.73404,0.73949,0.53891,0.93735,8.48351e-05,8.48351e-05,8.48351e-05
60,147.466,0.88744,0.73681,1.06019,0.88518,0.81853,0.88743,0.73468,0.7339,0.53716,0.93511,8.42461e-05,8.42461e-05,8.42461e-05
61,149.795,0.85744,0.74628,1.03826,0.88851,0.80406,0.8804,0.73668,0.7269,0.53531,0.93237,8.3657e-05,8.3657e-05,8.3657e-05
62,152.048,0.85182,0.72763,1.03387,0.90799,0.80185,0.88247,0.73708,0.72228,0.53562,0.9297,8.3068e-05,8.3068e-05,8.3068e-05
63,154.478,0.84052,0.72158,1.04564,0.88792,0.81084,0.88142,0.73686,0.71862,0.53071,0.92727,8.24789e-05,8.24789e-05,8.24789e-05
64,156.932,0.83405,0.70114,1.02758,0.88458,0.81174,0.88287,0.73892,0.71653,0.5254,0.92606,8.18899e-05,8.18899e-05,8.18899e-05
65,159.316,0.80016,0.68638,1.01568,0.90538,0.81034,0.88443,0.74046,0.7148,0.52084,0.92427,8.13008e-05,8.13008e-05,8.13008e-05
66,161.726,0.85303,0.69998,1.02266,0.93293,0.81478,0.89311,0.74349,0.71666,0.51901,0.92387,8.07118e-05,8.07118e-05,8.07118e-05
67,164.047,0.82494,0.69073,1.01456,0.91845,0.8145,0.89171,0.74531,0.71947,0.51868,0.92468,8.01227e-05,8.01227e-05,8.01227e-05
68,166.472,0.84001,0.70287,1.04119,0.92196,0.82021,0.89372,0.74782,0.72174,0.5164,0.92551,7.95337e-05,7.95337e-05,7.95337e-05
69,169.096,0.84341,0.69143,1.0385,0.91074,0.82745,0.89543,0.74607,0.71787,0.51382,0.92529,7.89446e-05,7.89446e-05,7.89446e-05
70,171.535,0.84318,0.71855,1.04617,0.92382,0.83094,0.89931,0.74779,0.71306,0.51194,0.92384,7.83556e-05,7.83556e-05,7.83556e-05
