epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,93.0783,0.93329,0.82906,1.0816,0.8539,0.7638,0.84515,0.66632,0.84147,0.63775,0.98313,2.94644e-05,2.94644e-05,2.94644e-05
40,95.3742,0.94647,0.86988,1.10908,0.86022,0.76292,0.84395,0.66877,0.83753,0.63479,0.98051,2.71082e-05,2.71082e-05,2.71082e-05
41,120.55,1.01207,0.9701,1.08994,0.85753,0.76645,0.84248,0.66983,0.83652,0.64233,0.9789,2.4752e-05,2.4752e-05,2.4752e-05
42,122.815,0.97572,0.93315,1.07294,0.83714,0.78152,0.84154,0.67058,0.83969,0.65021,0.97906,2.23958e-05,2.23958e-05,2.23958e-05
43,125.173,0.96097,0.90101,1.07031,0.85354,0.76665,0.8379,0.66834,0.8396,0.65317,0.97773,2.00396e-05,2.00396e-05,2.00396e-05
44,127.47,0.9358,0.85936,1.08101,0.84855,0.76813,0.83905,0.66821,0.84055,0.65408,0.97747,1.76834e-05,1.76834e-05,1.76834e-05
45,129.757,0.94445,0.85273,1.0479,0.82784,0.77163,0.83668,0.66621,0.84571,0.65575,0.97846,1.53272e-05,1.53272e-05,1.53272e-05
46,132.112,0.91222,0.8274,1.07154,0.82191,0.77231,0.83718,0.66597,0.84574,0.65484,0.97798,1.2971e-05,1.2971e-05,1.2971e-05
47,134.397,0.89382,0.78143,1.05393,0.81098,0.77693,0.83755,0.66682,0.84562,0.65426,0.97769,1.06148e-05,1.06148e-05,1.06148e-05
48,136.727,0.92384,0.81025,1.0638,0.80443,0.7802,0.8372,0.6647,0.84472,0.65292,0.97747,8.2586e-06,8.2586e-06,8.2586e-06
49,138.989,0.92322,0.80675,1.04754,0.80337,0.78176,0.83698,0.66554,0.84597,0.65475,0.97776,5.9024e-06,5.9024e-06,5.9024e-06
50,141.272,0.90372,0.80987,1.05111,0.79759,0.78374,0.83625,0.66476,0.84586,0.65601,0.97764,3.5462e-06,3.5462e-06,3.5462e-06
