epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32713,2.57577,3.38529,2.40823,0.59715,0.1726,0.22047,0.12895,2.52457,3.07572,2.24784,8.33e-06,8.33e-06,8.33e-06
2,6.72781,2.37535,3.14931,2.20615,0.57547,0.18754,0.22972,0.13562,2.46103,3.03222,2.2102,1.74966e-05,1.74966e-05,1.74966e-05
3,9.24433,2.23402,2.93161,2.13014,0.53663,0.21044,0.24004,0.14512,2.39184,2.96525,2.16974,2.62861e-05,2.62861e-05,2.62861e-05
4,12.0128,2.18043,2.71807,2.07738,0.69348,0.19125,0.25958,0.15554,2.29356,2.79941,2.1145,3.46987e-05,3.46987e-05,3.46987e-05
5,14.4375,2.11961,2.59204,2.05922,0.53067,0.24691,0.27687,0.16561,2.21146,2.57767,2.07927,4.27343e-05,4.27343e-05,4.27343e-05
6,16.8903,2.02354,2.44967,1.98405,0.60964,0.25048,0.29146,0.17268,2.1453,2.38781,2.05551,5.03929e-05,5.03929e-05,5.03929e-05
7,19.3269,1.98139,2.24998,1.99984,0.67483,0.24638,0.30894,0.17596,2.09156,2.29345,2.0374,5.76745e-05,5.76745e-05,5.76745e-05
8,21.7278,1.86473,2.15049,1.90273,0.69629,0.25458,0.32482,0.18487,2.0326,2.24122,2.0148,6.45792e-05,6.45792e-05,6.45792e-05
9,24.1226,1.86013,2.11052,1.8937,0.63719,0.28818,0.34894,0.198,1.97086,2.21388,2.00572,7.11068e-05,7.11068e-05,7.11068e-05
10,26.4353,1.7904,2.04554,1.92145,0.66999,0.29171,0.3651,0.21026,1.92754,2.18374,2.00176,7.72574e-05,7.72574e-05,7.72574e-05
11,28.7741,1.76408,2.00757,1.85577,0.59724,0.31808,0.38424,0.2225,1.83688,2.08011,1.96852,8.30311e-05,8.30311e-05,8.30311e-05
12,31.1382,1.71474,1.97801,1.83155,0.56289,0.33766,0.39433,0.22774,1.76891,1.9496,1.93153,8.84277e-05,8.84277e-05,8.84277e-05
13,33.4956,1.6783,1.91628,1.78201,0.64567,0.3245,0.42613,0.24801,1.71781,1.83946,1.90138,9.07256e-05,9.07256e-05,9.07256e-05
14,35.9794,1.61693,1.86137,1.73485,0.51313,0.40608,0.45483,0.2589,1.67688,1.73784,1.86614,8.83694e-05,8.83694e-05,8.83694e-05
15,38.3031,1.64097,1.7872,1.72163,0.59403,0.40975,0.48014,0.27534,1.63473,1.65045,1.82841,8.60132e-05,8.60132e-05,8.60132e-05
16,40.6805,1.59512,1.76664,1.74598,0.57019,0.45324,0.50484,0.28829,1.59402,1.57844,1.79264,8.3657e-05,8.3657e-05,8.3657e-05
17,43.0114,1.56395,1.77207,1.72712,0.58346,0.49505,0.53674,0.30689,1.56018,1.52401,1.76461,8.13008e-05,8.13008e-05,8.13008e-05
18,45.3815,1.55282,1.72193,1.67396,0.58218,0.52121,0.55264,0.31499,1.53835,1.4843,1.74584,7.89446e-05,7.89446e-05,7.89446e-05
19,47.7532,1.55587,1.70801,1.66945,0.587,0.52647,0.55812,0.32601,1.51851,1.45651,1.72831,7.65884e-05,7.65884e-05,7.65884e-05
20,50.1039,1.50167,1.60444,1.64904,0.57293,0.55948,0.57082,0.33907,1.50011,1.42393,1.71193,7.42322e-05,7.42322e-05,7.42322e-05
21,52.5054,1.54532,1.69615,1.67512,0.5938,0.56376,0.58546,0.35011,1.47471,1.39696,1.68949,7.1876e-05,7.1876e-05,7.1876e-05
22,54.8641,1.46042,1.55271,1.63181,0.59033,0.55576,0.59309,0.35963,1.46637,1.37942,1.68117,6.95198e-05,6.95198e-05,6.95198e-05
23,57.2145,1.52386,1.64328,1.66861,0.58702,0.56589,0.60599,0.36839,1.45906,1.37218,1.67607,6.71636e-05,6.71636e-05,6.71636e-05
24,59.7096,1.47092,1.50305,1.60624,0.55764,0.5866,0.62001,0.37757,1.44575,1.35288,1.66051,6.48074e-05,6.48074e-05,6.48074e-05
25,62.1141,1.4781,1.57172,1.64725,0.61638,0.58124,0.62927,0.38796,1.42222,1.33607,1.63753,6.24512e-05,6.24512e-05,6.24512e-05
26,64.4033,1.4357,1.52251,1.60592,0.62634,0.5871,0.64239,0.39557,1.40318,1.31289,1.61917,6.0095e-05,6.0095e-05,6.0095e-05
27,66.7524,1.47073,1.45229,1.62098,0.69541,0.55521,0.65103,0.40431,1.39707,1.29852,1.60969,5.77388e-05,5.77388e-05,5.77388e-05
28,69.0904,1.41694,1.47179,1.59222,0.71362,0.55221,0.6609,0.40856,1.38126,1.27938,1.5972,5.53826e-05,5.53826e-05,5.53826e-05
29,71.499,1.42141,1.48078,1.60045,0.68168,0.56936,0.66456,0.41647,1.36447,1.26335,1.58648,5.30264e-05,5.30264e-05,5.30264e-05
30,73.8349,1.44534,1.56924,1.60039,0.61195,0.63194,0.66779,0.42401,1.35435,1.24829,1.58308,5.06702e-05,5.06702e-05,5.06702e-05
31,76.1521,1.41579,1.46038,1.58936,0.68773,0.58336,0.67512,0.4287,1.34866,1.23719,1.58019,4.8314e-05,4.8314e-05,4.8314e-05
32,78.5351,1.38476,1.45144,1.56906,0.6371,0.63122,0.6869,0.4379,1.34194,1.22349,1.57503,4.59578e-05,4.59578e-05,4.59578e-05
33,81.0234,1.38677,1.3785,1.53043,0.64923,0.6458,0.69783,0.43883,1.33696,1.21501,1.57246,4.36016e-05,4.36016e-05,4.36016e-05
